Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149912,-,b'Haryana',b'India',28.42,77.41,5,201,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,,,,Clearsky DNI,,,,Dew Point,,DNI,,,,Relative Humidity,,,Pressure,,,Wind Speed,,,,,,,,,,,,,,,,,,,,
2020,1,4,20,0,11.5,,,,0,,,,3.7,,0,,,,58.62,,,995,,,1.4,,,,,,,,,,,,,,,,,,,,
2020,1,4,21,0,10.7,,,,0,,,,3.1,,0,,,,59.28,,,995,,,1.5,,,,,,,,,,,,,,,,,,,,
2020,1,4,22,0,10,,,,0,,,,2.6,,0,,,,60.19,,,995,,,1.5,,,,,,,,,,,,,,,,,,,,
2020,1,4,23,0,9.3,,,,0,,,,2.3,,0,,,,61.83,,,995,,,1.4,,,,,,,,,,,,,,,,,,,,
2020,1,5,0,0,8.8,,,,0,,,,2.2,,0,,,,63.06,,,994,,,1.4,,,,,,,,,,,,,,,,,,,,
2020,1,5,1,0,8.3,,,,0,,,,2.1,,0,,,,64.84,,,994,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,5,2,0,8,,,,0,,,,2.1,,0,,,,66.37,,,994,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,5,3,0,7.8,,,,0,,,,2.1,,0,,,,67.45,,,993,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,5,4,0,7.8,,,,0,,,,2.2,,0,,,,67.55,,,993,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,5,5,0,7.7,,,,0,,,,2.2,,0,,,,68.18,,,994,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,5,6,0,7.5,,,,0,,,,2.2,,0,,,,69.11,,,994,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,5,7,0,8.8,,,,21,,,,2.8,,21,,,,65.99,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,5,8,0,11.7,,,,210,,,,2.8,,210,,,,54.56,,,996,,,2.3,,,,,,,,,,,,,,,,,,,,
2020,1,5,9,0,14.5,,,,377,,,,3.5,,377,,,,47.77,,,996,,,2.2,,,,,,,,,,,,,,,,,,,,
2020,1,5,10,0,18.7,,,,489,,,,3.6,,489,,,,36.7,,,996,,,2.5,,,,,,,,,,,,,,,,,,,,
2020,1,5,11,0,20.5,,,,463,,,,3.8,,463,,,,33.36,,,995,,,2.6,,,,,,,,,,,,,,,,,,,,
2020,1,5,12,0,21.3,,,,504,,,,3.9,,504,,,,31.92,,,993,,,2.7,,,,,,,,,,,,,,,,,,,,
2020,1,5,13,0,21.5,,,,504,,,,3.7,,504,,,,31.09,,,993,,,3,,,,,,,,,,,,,,,,,,,,
2020,1,5,14,0,20.9,,,,372,,,,3.5,,372,,,,31.81,,,992,,,2.8,,,,,,,,,,,,,,,,,,,,
2020,1,5,15,0,19.6,,,,288,,,,4.7,,288,,,,37.5,,,993,,,1.9,,,,,,,,,,,,,,,,,,,,
2020,1,5,16,0,16.3,,,,150,,,,6.4,,150,,,,51.83,,,993,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,5,17,0,14.1,,,,5,,,,4.9,,5,,,,53.99,,,994,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,5,18,0,13.1,,,,0,,,,4.7,,0,,,,56.53,,,995,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,5,19,0,12.2,,,,0,,,,4.5,,0,,,,59.23,,,996,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,5,20,0,11.1,,,,0,,,,4,,0,,,,61.82,,,996,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,5,21,0,10.3,,,,0,,,,3.8,,0,,,,63.87,,,996,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,5,22,0,9.7,,,,0,,,,3.5,,0,,,,65.51,,,996,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,5,23,0,9.3,,,,0,,,,3.3,,0,,,,66.16,,,995,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,6,0,0,9,,,,0,,,,3.1,,0,,,,66.4,,,995,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,6,1,0,9.2,,,,0,,,,2.9,,0,,,,64.78,,,995,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,6,2,0,9.4,,,,0,,,,2.6,,0,,,,62.66,,,994,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,6,3,0,9,,,,0,,,,2.4,,0,,,,63.1,,,994,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,6,4,0,8.6,,,,0,,,,2.2,,0,,,,63.95,,,994,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,6,5,0,8.5,,,,0,,,,1.9,,0,,,,63.41,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,6,6,0,8.4,,,,0,,,,1.7,,0,,,,62.65,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,6,7,0,10,,,,31,,,,2.6,,31,,,,60.09,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,6,8,0,12.3,,,,265,,,,2.1,,265,,,,49.65,,,996,,,2,,,,,,,,,,,,,,,,,,,,
2020,1,6,9,0,14.6,,,,427,,,,2.8,,130,,,,45.14,,,997,,,1.7,,,,,,,,,,,,,,,,,,,,
2020,1,6,10,0,18.4,,,,519,,,,2.2,,176,,,,33.78,,,997,,,1.5,,,,,,,,,,,,,,,,,,,,
2020,1,6,11,0,20.6,,,,522,,,,1.9,,203,,,,29.01,,,996,,,1.5,,,,,,,,,,,,,,,,,,,,
2020,1,6,12,0,21.6,,,,530,,,,2.4,,210,,,,28.14,,,995,,,1.5,,,,,,,,,,,,,,,,,,,,
2020,1,6,13,0,21.9,,,,511,,,,2.7,,200,,,,28.3,,,994,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,6,14,0,21.6,,,,444,,,,3,,444,,,,29.39,,,994,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,6,15,0,20.5,,,,325,,,,4.6,,121,,,,35.32,,,994,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,6,16,0,17.5,,,,173,,,,7.1,,51,,,,50.45,,,994,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,6,17,0,14.6,,,,6,,,,5.5,,6,,,,54.31,,,995,,,1.4,,,,,,,,,,,,,,,,,,,,
2020,1,6,18,0,14.5,,,,0,,,,5.6,,0,,,,55.3,,,995,,,2.2,,,,,,,,,,,,,,,,,,,,
